,Distance
NorESM2-MM,1.9978895466827566
SAM0-UNICON,1.9862815027960252
E3SM-MMF,1.9181042671485082
FGOALS-g3,1.9180874727348152
GISS-E2-1-G,1.901882326396081
NESM3,1.8749158533349517
CMCC-ESM2,1.7832458188226408
GISS-E2-1-H,1.6998276501623217
MPI-ESM1-2-LR,1.6547563464470638
CMCC-CM2-SR5,1.6233231822101848
CAMS-CSM1-0,1.6035980587158227
CESM2-FV2,1.542166855446311
GISS-E2-1-G-CC,1.5378994741248024
CESM2-WACCM-FV2,1.5273489796321185
MRI-ESM2-0,1.5174095076484684
TaiESM1,1.5158139200208725
BCC-CSM2-MR,1.3876792984591126
CESM2,1.3662570619592438
MIROC6,1.35339912194596
CMCC-CM2-HR4,1.3391702875441478
MPI-ESM1-2-HR,1.33351867574443
IITM-ESM,1.279373539862477
BCC-ESM1,1.2643229327746819
ACCESS-CM2,1.2428481951076764
MPI-ESM-1-2-HAM,0.9566076971472735
CESM2-WACCM,0.920209436160871
AWI-ESM-1-1-LR,0.7898525650126705
E3SMv2,0.2328125465907885
CanESM5,0.026190111673302163
